Viewport width,Screen density,Pageviews
1295,1,3
1298,2,3
1300,2,3
1302,1,3
1306,1,3
1310,2,3
1314,2,3
1328,1,3
1330,1,3
1330,2,3
1331,1.5,3
1337,1,3
1339,1,3
1344,2,3
1345,2,3
1348,1,3
1351,2,3
1354,2,3
1356,1,3
1357,1,3
1359,1,3
1360,2,3
1362,2,3
1363,2,3
1365,2,3
1369,1,3
1372,2,3
1373,2,3
1385,1,3
1386,2,3
1390,1,3
1390,2,3
1394,1,3
1395,1,3
1398,1,3
1400,1,3
1401,2,3
1404,2,3
1412,2,3
1415,1.3,3
1416,1,3
1416,2,3
1423,2,3
1426,1,3
1429,1,3
1444,2,3
1445,1,3
1452,1,3
1456,1,3
1458,1,3
1459,2,3
1468,1,3
1470,1,3
1479,2,3
1481,2,3
1484,1,3
1487,1,3
1493,2,3
1494,1,3
1494,2,3
1495,1,3
1497,2,3
1500,1,3
1502,2,3
1503,2,3
1509,2,3
1511,1,3
1512,2,3
1514,1,3
1515,2,3
1519,1,3
1522,1.25,3
1526,1.25,3
1528,1,3
1529,2,3
1540,2,3
1541,1,3
1542,1,3
1546,2,3
1547,1,3
1548,1,3
1549,1,3
1552,1,3
1553,1,3
1561,1,3
1562,1,3
1564,1,3
1564,2,3
1568,1,3
1578,1,3
1585,2,3
1587,1,3
1587,2,3
1591,1,3
1592,2,3
1596,1.5,3
1600,0.9,3
1602,1,3
1604,1,3
1611,1,3
1612,1,3
1612,2,3
1613,2,3
1616,1,3
1620,1,3
1623,1,3
1624,1,3
1630,1,3
1634,2,3
1637,1,3
1639,2,3
1648,2,3
1651,2,3
1653,1,3
1655,2,3
1671,1,3
1671,2,3
1672,1,3
1673,1,3
1673,2,3
1677,2,3
1678,1,3
1684,1,3
1692,1,3
1705,2,3
1709,1,3
1715,1,3
1715,1.75,3
1722,1,3
1725,2,3
1727,2,3
1728,1,3
1739,1,3
1741,1,3
1745,2,3
1746,1,3
1749,1,3
1759,2,3
1763,1,3
1778,1,3
1779,1,3
1793,1,3
1795,1,3
1796,1,3
1800,1,3
1810,1,3
1814,2,3
1816,1,3
1817,1,3
1820,1,3
1828,1,3
1833,1,3
1839,1,3
1840,1,3
1841,1,3
1843,1,3
1846,1,3
1851,1,3
1856,1,3
1857,1,3
1860,1,3
1867,1.8,3
1867,2,3
1872,1,3
1876,1,3
1876,2,3
1902,2,3
1906,1,3
1917,2,3
1920,1.25,3
1926,1,3
1928,1,3
1935,1,3
1973,1,3
2000,1,3
2016,1,3
2036,1,3
2052,1,3
2092,1,3
2144,0.896,3
2153,2,3
2160,1,3
2212,1,3
2304,2,3
2495,1,3
2501,1,3
2505,1,3
2543,1,3
2558,1,3
2559,2,3
320,3.375,3
3442,1,3
400,2,3
485,2.975,3
601,1.331,3
681,1,3
739,2.75,3
798,1,3
800,1.5,3
826,1,3
853,1,3
897,1,3
899,1,3
945,1,3
960,1,3
967,1,3
995,1,3
1012,1,2
1012,2,2
10240,0.25,2
1036,2.5,2
1038,1,2
1056,1,2
1060,1,2
1062,2,2
1067,1,2
1075,1,2
1076,2,2
1077,1,2
1077,2,2
1078,1,2
1079,1,2
1092,1,2
1095,1,2
1100,1,2
1100,2,2
1105,1,2
1109,1,2
1110,1.1,2
1111,1,2
1112,1,2
1120,2,2
1125,1,2
1129,2,2
1136,2,2
1137,1,2
1138,2,2
1140,1,2
1140,2,2
1141,1,2
1144,1,2
1146,1,2
1148,2,2
1151,2,2
1152,1,2
1155,1,2
1155,2,2
1160,1,2
1169,2,2
1171,2,2
1173,1.091,2
1177,1,2
1179,2,2
1180,1,2
1184,2,2
1186,1,2
1187,2,2
1188,1,2
1188,2,2
1190,2,2
1192,2,2
1196,2,2
1197,2,2
1199,2,2
1202,1,2
1203,2,2
1208,2,2
1209,1,2
1210,1,2
1210,2,2
1213,1,2
1215,1,2
1215,2,2
1217,2,2
1218,1.5,2
1219,2,2
1225,2,2
1227,2,2
1228,1,2
1229,1.563,2
1232,1,2
1233,1,2
1238,1,2
1239,1,2
1242,1,2
1245,2,2
1246,1,2
1246,2,2
1252,1,2
1253,1,2
1253,2,2
1256,1,2
1257,1,2
1261,1,2
1267,2,2
1272,2,2
1274,1,2
1281,1,2
1283,1,2
1284,2,2
1285,1,2
1286,1,2
1287,1,2
1291,1,2
1292,1,2
1292,2,2
1293,1,2
1295,2,2
1296,1,2
1297,2,2
1298,1,2
1298,1.25,2
1301,1.05,2
1303,1,2
1307,1,2
1307,2,2
1308,1,2
1308,1.75,2
1311,2,2
1314,1,2
1319,2,2
1320,1,2
1320,2,2
1322,1,2
1329,2,2
1331,2,2
1332,1,2
1332,2,2
1334,1.25,2
1335,2,2
1336,2,2
1341,2,2
1344,1,2
1345,1,2
1346,1,2
1352,1,2
1358,2,2
1359,2,2
1361,1,2
1364,2,2
1368,1,2
1368,1.25,2
1369,2,2
1370,1,2
1371,2,2
1373,1,2
1374,1,2
1374,2,2
1376,1.396,2
1381,1,2
1381,2,2
1382,1,2
1383,1,2
1383,2,2
1385,2,2
1387,1,2
1392,1,2
1396,1,2
1399,1,2
1401,1,2
1404,1,2
1408,1,2
1408,1.364,2
1408,2,2
1411,2,2
1413,2,2
1414,1,2
1417,1,2
1419,1,2
1421,2,2
1422,1.8,2
1423,1,2
1427,2,2
1428,2,2
1432,1,2
1433,1,2
1438,0.95,2
1444,1,2
1446,2,2
1448,2,2
1449,2,2
1460,2,2
1461,1,2
1462,1,2
1463,1,2
1465,1,2
1467,1.091,2
1472,1,2
1472,1.304,2
1474,1,2
1474,1.25,2
1475,1,2
1477,1,2
1478,1,2
1479,1.925,2
1480,1,2
1483,1.25,2
1488,1,2
1488,2,2
1493,1,2
1496,1,2
1496,2,2
1499,2,2
1502,1,2
1506,1,2
1510,2,2
1511,2,2
1512,1,2
1514,2,2
1515,1,2
1517,1,2
1518,1,2
1519,2,2
1523,1,2
1524,2.5,2
1525,1,2
1525,2,2
1527,2,2
1530,1,2
1532,1,2
1532,2,2
1536,2,2
1540,1,2
1541,2,2
1545,1,2
1546,1,2
1555,1,2
1558,2,2
1559,1,2
1565,2,2
1566,2,2
1573,1,2
1576,2,2
1578,2,2
1586,1,2
1588,1,2
1588,2,2
1589,2,2
1590,1,2
1593,1,2
1595,1,2
1598,1,2
1605,1,2
1609,1,2
1614,1,2
1614,2,2
1616,2,2
1619,2,2
1626,1,2
1627,2,2
1628,2,2
1632,2,2
1633,1,2
1633,2,2
1638,2.5,2
1640,2,2
1642,1.17,2
1643,1,2
1645,1,2
1646,2,2
1648,1,2
1650,2,2
1651,1,2
1657,2,2
1658,1.65,2
